input,output
Family plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your  time. Ref 66474.,normal
Lunch plan. Here are the notes for this week and the next steps. Looking forward to your  response. Ref 66148.,normal
Order confirmation. Dinner is planned for Saturday evening at home. Thanks for your help. Ref  65965.,normal
Project update. Let us meet after class to discuss the assignment. Thanks for your help. Ref  84743.,normal
Special deal for you. This is a limited time deal and you should act fast. Last chance. Ref  45458.,spam
Order confirmation. Please confirm your availability for the appointment. Please reply when  convenient. Ref 65671.,normal
"Free gift waiting. This offer expires soon, so take action now. No reply is needed, act now. Ref  46525.",spam
Lunch plan. Let us meet after class to discuss the assignment. Please reply when convenient.  Ref 97670.,normal
Lunch plan. The order has been confirmed and details are attached below. I appreciate your  time. Ref 58109.,normal
Class notes. Dinner is planned for Saturday evening at home. Thanks for your help. Ref  51003.,normal
"Final notice payment needed. This offer expires soon, so take action now. No reply is needed,  act now. Ref 48845.",spam
"Verify your account today. This offer expires soon, so take action now. No reply is needed, act  now. Ref 47313.",spam
"Limited time offer. Unlock premium access with this one time opportunity. No reply is needed,  act now. Ref 27387.",spam
Homework question. Here are the notes for this week and the next steps. Please reply when  convenient. Ref 94453.,normal
"Final notice payment needed. We detected unusual activity and need verification immediately.  No reply is needed, act now. Ref 42973.",spam
Lunch plan. The order has been confirmed and details are attached below. Please reply when  convenient. Ref 52517.,normal
Homework question. Please review the file and send your feedback when you are free. I  appreciate your time. Ref 65069.,normal
Order confirmation. I completed the task and shared the latest version for review. Please reply  when convenient. Ref 99100.,normal
Team discussion. Please confirm your availability for the appointment. Thanks for your help.  Ref 66513.,normal
Class notes. I completed the task and shared the latest version for review. I appreciate your  time. Ref 67458.,normal
Meeting reminder. Please confirm your availability for the appointment. Let me know if anything  changes. Ref 67149.,normal
Lunch plan. Let us meet after class to discuss the assignment. Let me know if anything  changes. Ref 57908.,normal
Team discussion. Please confirm your availability for the appointment. Let me know if anything  changes. Ref 74875.,normal
Lunch plan. Please review the file and send your feedback when you are free. Looking forward  to your response. Ref 77998.,normal
Homework question. The order has been confirmed and details are attached below. Thanks for  your help. Ref 75906.,normal
Class notes. Here are the notes for this week and the next steps. Looking forward to your  response. Ref 89700.,normal
Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time. Ref  70401.,normal
Class notes. Please review the file and send your feedback when you are free. Thanks for your  help. Ref 58118.,normal
"Limited time offer. Your payment failed, update your information right away. Limited  availability. Ref 10093.",spam
Claim your prize now. Click the link to claim your reward before it expires. Last chance. Ref  9085.,spam
Weekly schedule. Please confirm your availability for the appointment. Please reply when  convenient. Ref 51197.,normal
Lunch plan. Can you check this and reply when convenient? Thanks for your help. Ref  80026.,normal
"Final notice payment needed. Please confirm your details to receive your prize. No reply is  needed, act now. Ref 45512.",spam
Urgent account alert. Please confirm your details to receive your prize. Do not miss this  opportunity. Ref 9398.,spam
Lunch plan. The order has been confirmed and details are attached below. Please reply when  convenient. Ref 55407.,normal
"Limited time offer. We detected unusual activity and need verification immediately. No reply is  needed, act now. Ref 4364.",spam
Appointment follow-up. Please confirm your availability for the appointment. Thanks for your  help. Ref 79416.,normal
"Free gift waiting. Your payment failed, update your information right away. Do not miss this  opportunity. Ref 27431.",spam
"Final notice payment needed. This offer expires soon, so take action now. Offer ends very  soon. Ref 48789.",spam
Appointment follow-up. The order has been confirmed and details are attached below. Thanks  for your help. Ref 56265.,normal
Final notice payment needed. Please confirm your details to receive your prize. Offer ends very  soon. Ref 10264.,spam
Free gift waiting. Unlock premium access with this one time opportunity. Last chance. Ref  42940.,spam
Free gift waiting. You have been selected for a special bonus offer. Limited availability. Ref  44690.,spam
Limited time offer. Please confirm your details to receive your prize. Last chance. Ref  10061.,spam
Class notes. The order has been confirmed and details are attached below. Looking forward to  your response. Ref 79572.,normal
Family plan. Can you check this and reply when convenient? Let me know if anything changes.  Ref 82329.,normal
"Action required immediately. Do not miss this exclusive reward, claim it today. Last chance.  Ref 28192.",spam
Class notes. Here are the notes for this week and the next steps. Please reply when  convenient. Ref 60509.,normal
Project update. We need to finalize the timeline before Friday. Let me know if anything  changes. Ref 91264.,normal
Urgent account alert. Please confirm your details to receive your prize. Limited availability. Ref  49241.,spam
Weekly schedule. Dinner is planned for Saturday evening at home. Let me know if anything  changes. Ref 52053.,normal
Limited time offer. We detected unusual activity and need verification immediately. Last  chance. Ref 28588.,spam
Order confirmation. I completed the task and shared the latest version for review. I appreciate  your time. Ref 79560.,normal
Lunch plan. The order has been confirmed and details are attached below. Looking forward to  your response. Ref 56430.,normal
"Claim your prize now. This is a limited time deal and you should act fast. No reply is needed,  act now. Ref 11685.",spam
"Congratulations you won. Do not miss this exclusive reward, claim it today. Limited availability.  Ref 35893.",spam
Appointment follow-up. Please review the file and send your feedback when you are free.  Looking forward to your response. Ref 94693.,normal
Free gift waiting. You have been selected for a special bonus offer. Last chance. Ref  27410.,spam
Appointment follow-up. I completed the task and shared the latest version for review. I  appreciate your time. Ref 71436.,normal
Verify your account today. We detected unusual activity and need verification immediately.  Offer ends very soon. Ref 14186.,spam
Order confirmation. Here are the notes for this week and the next steps. Please reply when  convenient. Ref 90710.,normal
"Urgent account alert. This offer expires soon, so take action now. Offer ends very soon. Ref  18681.",spam
Homework question. Can you check this and reply when convenient? I appreciate your time.  Ref 84067.,normal
"Congratulations you won. Do not miss this exclusive reward, claim it today. Offer ends very  soon. Ref 36490.",spam
Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your  time. Ref 77043.,normal
Limited time offer. You have been selected for a special bonus offer. Do not miss this  opportunity. Ref 42514.,spam
Appointment follow-up. I completed the task and shared the latest version for review. Let me  know if anything changes. Ref 53942.,normal
Weekly schedule. Dinner is planned for Saturday evening at home. I appreciate your time. Ref  60505.,normal
Weekly schedule. I completed the task and shared the latest version for review. Thanks for your  help. Ref 58600.,normal
Appointment follow-up. Dinner is planned for Saturday evening at home. Looking forward to  your response. Ref 87852.,normal
Exclusive bonus inside. You have been selected for a special bonus offer. Limited availability.  Ref 20432.,spam
Limited time offer. This is a limited time deal and you should act fast. Limited availability. Ref  36793.,spam
Verify your account today. You have been selected for a special bonus offer. Last chance. Ref  4132.,spam
Free gift waiting. Your account may be suspended unless you respond now. Limited availability.  Ref 19324.,spam
Verify your account today. Unlock premium access with this one time opportunity. Last chance.  Ref 30963.,spam
Meeting reminder. Can you check this and reply when convenient? Let me know if anything  changes. Ref 99418.,normal
"Claim your prize now. Your payment failed, update your information right away. Offer ends  very soon. Ref 17657.",spam
Family plan. Dinner is planned for Saturday evening at home. Looking forward to your  response. Ref 67081.,normal
"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very  soon. Ref 481.",spam
Limited time offer. You have been selected for a special bonus offer. Limited availability. Ref  1489.,spam
"Congratulations you won. Do not miss this exclusive reward, claim it today. Limited availability.  Ref 44818.",spam
Weekly schedule. Let us meet after class to discuss the assignment. Thanks for your help. Ref  82189.,normal
Verify your account today. Click the link to claim your reward before it expires. Last chance. Ref  33287.,spam
Weekly schedule. Please confirm your availability for the appointment. Thanks for your help.  Ref 91204.,normal
Weekly schedule. Please confirm your availability for the appointment. Let me know if anything  changes. Ref 50124.,normal
"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very  soon. Ref 7107.",spam
"Special deal for you. Your payment failed, update your information right away. No reply is  needed, act now. Ref 10202.",spam
Lunch plan. The order has been confirmed and details are attached below. Let me know if  anything changes. Ref 59733.,normal
Order confirmation. Can you check this and reply when convenient? Let me know if anything  changes. Ref 55628.,normal
Exclusive bonus inside. Please confirm your details to receive your prize. Limited availability.  Ref 19075.,spam
Class notes. The order has been confirmed and details are attached below. I appreciate your  time. Ref 61010.,normal
Order confirmation. Please review the file and send your feedback when you are free. Thanks  for your help. Ref 99789.,normal
Final notice payment needed. Unlock premium access with this one time opportunity. Last  chance. Ref 35219.,spam
Homework question. The order has been confirmed and details are attached below. Looking  forward to your response. Ref 57448.,normal
Lunch plan. Dinner is planned for Saturday evening at home. Looking forward to your  response. Ref 67944.,normal
Order confirmation. Let us meet after class to discuss the assignment. Thanks for your help.  Ref 54412.,normal
Final notice payment needed. Unlock premium access with this one time opportunity. Do not  miss this opportunity. Ref 33507.,spam
Appointment follow-up. Please review the file and send your feedback when you are free.  Thanks for your help. Ref 84755.,normal
Order confirmation. Can you check this and reply when convenient? Please reply when  convenient. Ref 93724.,normal
Final notice payment needed. Please confirm your details to receive your prize. Limited  availability. Ref 42324.,spam
Project update. Please confirm your availability for the appointment. Looking forward to your  response. Ref 73894.,normal
Lunch plan. We need to finalize the timeline before Friday. Thanks for your help. Ref  75936.,normal
Lunch plan. Please review the file and send your feedback when you are free. Let me know if  anything changes. Ref 69859.,normal
Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your  time. Ref 58207.,normal
"Congratulations you won. This offer expires soon, so take action now. No reply is needed, act  now. Ref 37381.",spam
Team discussion. Can you check this and reply when convenient? Thanks for your help. Ref  83998.,normal
"Urgent account alert. Your account may be suspended unless you respond now. No reply is  needed, act now. Ref 47719.",spam
"Urgent account alert. Do not miss this exclusive reward, claim it today. Do not miss this  opportunity. Ref 4474.",spam
"Action required immediately. Your payment failed, update your information right away. Limited  availability. Ref 39428.",spam
Class notes. We need to finalize the timeline before Friday. I appreciate your time. Ref  72103.,normal
"Free gift waiting. Unlock premium access with this one time opportunity. No reply is needed,  act now. Ref 5725.",spam
Weekly schedule. Please review the file and send your feedback when you are free. Thanks for  your help. Ref 52757.,normal
"Exclusive bonus inside. This offer expires soon, so take action now. Limited availability. Ref  38209.",spam
"Exclusive bonus inside. Please confirm your details to receive your prize. No reply is needed,  act now. Ref 28818.",spam
"Claim your prize now. Your payment failed, update your information right away. Do not miss  this opportunity. Ref 10442.",spam
Meeting reminder. The order has been confirmed and details are attached below. Looking  forward to your response. Ref 77433.,normal
Exclusive bonus inside. Click the link to claim your reward before it expires. Do not miss this  opportunity. Ref 18122.,spam
"Urgent account alert. Your payment failed, update your information right away. Offer ends very  soon. Ref 4908.",spam
Appointment follow-up. Can you check this and reply when convenient? Thanks for your help.  Ref 51483.,normal
Family plan. Please review the file and send your feedback when you are free. Let me know if  anything changes. Ref 69879.,normal
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. Do not miss this  opportunity. Ref 38542.",spam
Team discussion. Here are the notes for this week and the next steps. Let me know if anything  changes. Ref 89386.,normal
Exclusive bonus inside. Click the link to claim your reward before it expires. Limited availability.  Ref 65.,spam
"Free gift waiting. This offer expires soon, so take action now. Last chance. Ref 3073.",spam
Congratulations you won. Click the link to claim your reward before it expires. Last chance. Ref  8230.,spam
Weekly schedule. Let us meet after class to discuss the assignment. Looking forward to your  response. Ref 96384.,normal
Order confirmation. We need to finalize the timeline before Friday. Let me know if anything  changes. Ref 82031.,normal
Lunch plan. I completed the task and shared the latest version for review. I appreciate your  time. Ref 97156.,normal
Family plan. Please confirm your availability for the appointment. Thanks for your help. Ref  62604.,normal
Family plan. Here are the notes for this week and the next steps. Looking forward to your  response. Ref 78491.,normal
"Action required immediately. Your payment failed, update your information right away. Offer  ends very soon. Ref 18190.",spam
Urgent account alert. This is a limited time deal and you should act fast. Do not miss this  opportunity. Ref 27616.,spam
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed,  act now. Ref 4577.",spam
Lunch plan. Dinner is planned for Saturday evening at home. Looking forward to your  response. Ref 74665.,normal
Team discussion. We need to finalize the timeline before Friday. Thanks for your help. Ref  71221.,normal
Appointment follow-up. Can you check this and reply when convenient? Looking forward to  your response. Ref 69240.,normal
Class notes. Please review the file and send your feedback when you are free. Let me know if  anything changes. Ref 77579.,normal
Congratulations you won. Please confirm your details to receive your prize. Offer ends very  soon. Ref 46642.,spam
Family plan. Dinner is planned for Saturday evening at home. I appreciate your time. Ref  72219.,normal
Appointment follow-up. Please review the file and send your feedback when you are free.  Please reply when convenient. Ref 57655.,normal
Homework question. Dinner is planned for Saturday evening at home. Please reply when  convenient. Ref 56991.,normal
Class notes. We need to finalize the timeline before Friday. I appreciate your time. Ref  93869.,normal
Project update. I completed the task and shared the latest version for review. Thanks for your  help. Ref 74397.,normal
Class notes. Can you check this and reply when convenient? Looking forward to your  response. Ref 68468.,normal
"Limited time offer. This offer expires soon, so take action now. No reply is needed, act now.  Ref 22082.",spam
"Congratulations you won. Your payment failed, update your information right away. Last  chance. Ref 16556.",spam
Team discussion. Please confirm your availability for the appointment. Looking forward to your  response. Ref 71809.,normal
Class notes. I completed the task and shared the latest version for review. Let me know if  anything changes. Ref 69501.,normal
Class notes. The order has been confirmed and details are attached below. Thanks for your  help. Ref 97652.,normal
Team discussion. I completed the task and shared the latest version for review. Let me know if  anything changes. Ref 53693.,normal
Class notes. Let us meet after class to discuss the assignment. Thanks for your help. Ref  88654.,normal
Action required immediately. We detected unusual activity and need verification immediately.  Offer ends very soon. Ref 47073.,spam
Team discussion. The order has been confirmed and details are attached below. I appreciate  your time. Ref 75452.,normal
Team discussion. Let us meet after class to discuss the assignment. Looking forward to your  response. Ref 84313.,normal
Weekly schedule. I completed the task and shared the latest version for review. Let me know if  anything changes. Ref 73143.,normal
Meeting reminder. We need to finalize the timeline before Friday. Thanks for your help. Ref  82929.,normal
Meeting reminder. Here are the notes for this week and the next steps. Looking forward to your  response. Ref 81218.,normal
Free gift waiting. Click the link to claim your reward before it expires. Limited availability. Ref  43791.,spam
"Exclusive bonus inside. This offer expires soon, so take action now. Do not miss this  opportunity. Ref 27231.",spam
Lunch plan. Please review the file and send your feedback when you are free. Please reply  when convenient. Ref 77192.,normal
Urgent account alert. We detected unusual activity and need verification immediately. Offer  ends very soon. Ref 24355.,spam
Urgent account alert. We detected unusual activity and need verification immediately. Do not  miss this opportunity. Ref 10094.,spam
Class notes. Let us meet after class to discuss the assignment. Let me know if anything  changes. Ref 56178.,normal
Team discussion. The meeting is scheduled for tomorrow afternoon in the office. I appreciate  your time. Ref 80224.,normal
Final notice payment needed. You have been selected for a special bonus offer. Limited  availability. Ref 37329.,spam
"Action required immediately. This offer expires soon, so take action now. Limited availability.  Ref 32590.",spam
"Verify your account today. This offer expires soon, so take action now. Do not miss this  opportunity. Ref 17314.",spam
Urgent account alert. Unlock premium access with this one time opportunity. Limited  availability. Ref 16382.,spam
"Special deal for you. Do not miss this exclusive reward, claim it today. Do not miss this  opportunity. Ref 15148.",spam
Homework question. I completed the task and shared the latest version for review. I appreciate  your time. Ref 73209.,normal
Project update. Here are the notes for this week and the next steps. Let me know if anything  changes. Ref 76317.,normal
Team discussion. Here are the notes for this week and the next steps. Thanks for your help.  Ref 75153.,normal
Homework question. The meeting is scheduled for tomorrow afternoon in the office. Looking  forward to your response. Ref 83236.,normal
Project update. I completed the task and shared the latest version for review. I appreciate your  time. Ref 69506.,normal
Claim your prize now. Unlock premium access with this one time opportunity. Limited  availability. Ref 33760.,spam
"Claim your prize now. Please confirm your details to receive your prize. No reply is needed,  act now. Ref 4144.",spam
Team discussion. Here are the notes for this week and the next steps. Let me know if anything  changes. Ref 85584.,normal
Homework question. Let us meet after class to discuss the assignment. I appreciate your time.  Ref 77939.,normal
"Limited time offer. Your account may be suspended unless you respond now. No reply is  needed, act now. Ref 39117.",spam
Lunch plan. The order has been confirmed and details are attached below. Please reply when  convenient. Ref 88993.,normal
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. Last chance. Ref  29708.",spam
Free gift waiting. This is a limited time deal and you should act fast. Do not miss this  opportunity. Ref 39416.,spam
Appointment follow-up. We need to finalize the timeline before Friday. Looking forward to your  response. Ref 69090.,normal
Action required immediately. We detected unusual activity and need verification immediately.  Do not miss this opportunity. Ref 35026.,spam
Class notes. Can you check this and reply when convenient? Looking forward to your  response. Ref 83014.,normal
"Final notice payment needed. Click the link to claim your reward before it expires. No reply is  needed, act now. Ref 23626.",spam
Homework question. Please review the file and send your feedback when you are free. Looking  forward to your response. Ref 51891.,normal
Claim your prize now. Please confirm your details to receive your prize. Last chance. Ref  30180.,spam
Claim your prize now. Your account may be suspended unless you respond now. Last chance.  Ref 14111.,spam
Family plan. We need to finalize the timeline before Friday. Looking forward to your response.  Ref 83580.,normal
Order confirmation. Here are the notes for this week and the next steps. Thanks for your help.  Ref 90336.,normal
Order confirmation. Please confirm your availability for the appointment. Please reply when  convenient. Ref 64263.,normal
Lunch plan. Here are the notes for this week and the next steps. I appreciate your time. Ref  56698.,normal
Lunch plan. Please confirm your availability for the appointment. Looking forward to your  response. Ref 84346.,normal
Claim your prize now. You have been selected for a special bonus offer. Do not miss this  opportunity. Ref 12787.,spam
Project update. I completed the task and shared the latest version for review. Please reply  when convenient. Ref 79784.,normal
Meeting reminder. Please confirm your availability for the appointment. Please reply when  convenient. Ref 59669.,normal
Limited time offer. This is a limited time deal and you should act fast. Offer ends very soon. Ref  1185.,spam
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed,  act now. Ref 7139.",spam
"Free gift waiting. Do not miss this exclusive reward, claim it today. Last chance. Ref  12567.",spam
Weekly schedule. Here are the notes for this week and the next steps. I appreciate your time.  Ref 64401.,normal
Project update. We need to finalize the timeline before Friday. Please reply when convenient.  Ref 79729.,normal
Verify your account today. This is a limited time deal and you should act fast. Offer ends very  soon. Ref 27560.,spam
"Verify your account today. Do not miss this exclusive reward, claim it today. Limited  availability. Ref 41944.",spam
Lunch plan. I completed the task and shared the latest version for review. Please reply when  convenient. Ref 59150.,normal
Meeting reminder. The meeting is scheduled for tomorrow afternoon in the office. Looking  forward to your response. Ref 95459.,normal
Weekly schedule. Please confirm your availability for the appointment. I appreciate your time.  Ref 88746.,normal
Weekly schedule. I completed the task and shared the latest version for review. Thanks for your  help. Ref 82411.,normal
Weekly schedule. Dinner is planned for Saturday evening at home. Please reply when  convenient. Ref 79414.,normal
Order confirmation. The order has been confirmed and details are attached below. Let me  know if anything changes. Ref 62617.,normal
Team discussion. Let us meet after class to discuss the assignment. Please reply when  convenient. Ref 80812.,normal
Lunch plan. Let us meet after class to discuss the assignment. Please reply when convenient.  Ref 87289.,normal
Homework question. We need to finalize the timeline before Friday. Let me know if anything  changes. Ref 60596.,normal
Congratulations you won. You have been selected for a special bonus offer. Do not miss this  opportunity. Ref 19372.,spam
Action required immediately. Your account may be suspended unless you respond now. Last  chance. Ref 10773.,spam
Meeting reminder. Please review the file and send your feedback when you are free. Thanks for  your help. Ref 73619.,normal
"Exclusive bonus inside. Your payment failed, update your information right away. Do not miss  this opportunity. Ref 3344.",spam
"Special deal for you. This offer expires soon, so take action now. Last chance. Ref 277.",spam
Team discussion. Let us meet after class to discuss the assignment. Let me know if anything  changes. Ref 62593.,normal
Claim your prize now. This is a limited time deal and you should act fast. Offer ends very soon.  Ref 9049.,spam
Weekly schedule. Here are the notes for this week and the next steps. Looking forward to your  response. Ref 67197.,normal
"Final notice payment needed. Do not miss this exclusive reward, claim it today. Do not miss  this opportunity. Ref 46476.",spam
Lunch plan. The order has been confirmed and details are attached below. Looking forward to  your response. Ref 78663.,normal
Urgent account alert. Unlock premium access with this one time opportunity. Do not miss this  opportunity. Ref 7863.,spam
Order confirmation. Can you check this and reply when convenient? Please reply when  convenient. Ref 53393.,normal
"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very  soon. Ref 38755.",spam
Verify your account today. You have been selected for a special bonus offer. Last chance. Ref  47444.,spam
Claim your prize now. Your account may be suspended unless you respond now. Offer ends  very soon. Ref 13528.,spam
"Verify your account today. Do not miss this exclusive reward, claim it today. Do not miss this  opportunity. Ref 6439.",spam
Appointment follow-up. Let us meet after class to discuss the assignment. Thanks for your  help. Ref 88937.,normal
"Claim your prize now. Please confirm your details to receive your prize. No reply is needed,  act now. Ref 9501.",spam
"Limited time offer. This offer expires soon, so take action now. Offer ends very soon. Ref  19649.",spam
Meeting reminder. The order has been confirmed and details are attached below. Looking  forward to your response. Ref 73961.,normal
Urgent account alert. You have been selected for a special bonus offer. Offer ends very soon.  Ref 17050.,spam
Team discussion. We need to finalize the timeline before Friday. I appreciate your time. Ref  86862.,normal
"Claim your prize now. Do not miss this exclusive reward, claim it today. No reply is needed,  act now. Ref 22457.",spam
Final notice payment needed. Click the link to claim your reward before it expires. Last chance.  Ref 17628.,spam
"Special deal for you. Your payment failed, update your information right away. No reply is  needed, act now. Ref 39437.",spam
Project update. The order has been confirmed and details are attached below. Let me know if  anything changes. Ref 61338.,normal
Exclusive bonus inside. You have been selected for a special bonus offer. Limited availability.  Ref 48990.,spam
Team discussion. Dinner is planned for Saturday evening at home. Thanks for your help. Ref  60743.,normal
Exclusive bonus inside. You have been selected for a special bonus offer. Do not miss this  opportunity. Ref 44822.,spam
Order confirmation. Dinner is planned for Saturday evening at home. Please reply when  convenient. Ref 85767.,normal
Exclusive bonus inside. Please confirm your details to receive your prize. Offer ends very soon.  Ref 8521.,spam
"Free gift waiting. This offer expires soon, so take action now. Limited availability. Ref  38507.",spam
Claim your prize now. Please confirm your details to receive your prize. Do not miss this  opportunity. Ref 15013.,spam
Verify your account today. This is a limited time deal and you should act fast. Limited  availability. Ref 20114.,spam
Special deal for you. This is a limited time deal and you should act fast. Limited availability. Ref  43809.,spam
"Congratulations you won. This offer expires soon, so take action now. Do not miss this  opportunity. Ref 42211.",spam
Congratulations you won. Click the link to claim your reward before it expires. Limited  availability. Ref 25406.,spam
Lunch plan. Dinner is planned for Saturday evening at home. Thanks for your help. Ref  93564.,normal
Homework question. The meeting is scheduled for tomorrow afternoon in the office. Please  reply when convenient. Ref 60333.,normal
"Final notice payment needed. This offer expires soon, so take action now. Do not miss this  opportunity. Ref 5656.",spam
Exclusive bonus inside. Please confirm your details to receive your prize. Limited availability.  Ref 24310.,spam
Free gift waiting. Your account may be suspended unless you respond now. Do not miss this  opportunity. Ref 49396.,spam
Class notes. Here are the notes for this week and the next steps. Please reply when  convenient. Ref 69767.,normal
Order confirmation. Please review the file and send your feedback when you are free. I  appreciate your time. Ref 67022.,normal
Meeting reminder. I completed the task and shared the latest version for review. I appreciate  your time. Ref 77604.,normal
"Congratulations you won. Your account may be suspended unless you respond now. No reply  is needed, act now. Ref 873.",spam
Homework question. Can you check this and reply when convenient? Looking forward to your  response. Ref 93751.,normal
Congratulations you won. This is a limited time deal and you should act fast. Last chance. Ref  17911.,spam
Action required immediately. You have been selected for a special bonus offer. Limited  availability. Ref 3721.,spam
Action required immediately. This is a limited time deal and you should act fast. Limited  availability. Ref 18017.,spam
Family plan. Can you check this and reply when convenient? Thanks for your help. Ref  70186.,normal
Limited time offer. You have been selected for a special bonus offer. Last chance. Ref  22720.,spam
Appointment follow-up. Can you check this and reply when convenient? Looking forward to  your response. Ref 70062.,normal
"Free gift waiting. Your payment failed, update your information right away. Limited availability.  Ref 33393.",spam
"Action required immediately. Do not miss this exclusive reward, claim it today. No reply is  needed, act now. Ref 31014.",spam
"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. Do not miss this  opportunity. Ref 21187.",spam
"Urgent account alert. This offer expires soon, so take action now. Last chance. Ref  33569.",spam
Urgent account alert. Click the link to claim your reward before it expires. Do not miss this  opportunity. Ref 15688.,spam
Project update. Here are the notes for this week and the next steps. Thanks for your help. Ref  91624.,normal
"Limited time offer. This offer expires soon, so take action now. Offer ends very soon. Ref  27191.",spam
Lunch plan. I completed the task and shared the latest version for review. Looking forward to  your response. Ref 59872.,normal
"Urgent account alert. This offer expires soon, so take action now. No reply is needed, act now.  Ref 48477.",spam
